Role,Index,Pose Index,Structure,Protein,MW(Molecular Weight) Unit Dalton,#Atoms,SlogP,TPSA,Flexibility,#RB,LF Rank Score,LF dG,LF VSscore,LF LE,tPSA,Hacc,Hdon,logSw,Library,MW_FREE,PC1,PC2
chembridge-fragment-library-part1-exp-2024-06,19940,1,Brc1ccc(CSC=2C(=O)NC(=O)NN2)cc1,6TBE_P,314.2,17,1.9,70.6,3.0,3,-8.75,-8.286,-10.681,-0.487,78.6,3.0,2.0,-3.53,ExpressPick,314,1.388991821075755,1.3616334056030446
chembridge-fragment-library-part1-exp-2024-06,8866,1,Oc1ccc(CN2CCc3c([nH]c4ccccc43)C2)cc1,6TBE_P,278.4,21,3.4,39.3,3.0,3,-8.596,-6.457,-7.222,-0.307,39.3,2.0,2.0,-2.17,ExpressPick,278,1.6426639824123226,-1.0636156348394314
chembridge-fragment-library-part1-exp-2024-06,12780,1,Brc1ccc(NC(=O)CC=2C(=O)Nc3ccccc3C2O)cc1,6TBE_P,373.2,23,3.8,78.4,2.8,4,-8.422,-7.207,-8.626,-0.313,82.2,3.0,3.0,-3.93,ExpressPick,373,4.246082951168624,1.037181638470364
chembridge-fragment-library-part1-exp-2024-06,7076,1,O=C1C(SCc2ccccc2)=NNC(=O)N1,6TBE_P,235.3,16,1.1,70.6,3.0,3,-8.416,-7.079,-9.512,-0.442,78.6,3.0,2.0,-2.01,ExpressPick,235,-0.0574871296420131,1.9283419543812825
chembridge-fragment-library-part1-exp-2024-06,17706,1,Fc1ccc(CN2C(O)=NC([O-])=C([S+](C)C)C2=O)cc1,6TBE_P,295.3,20,1.3,72.8,3.0,3,-8.359,-7.017,-8.063,-0.351,71.9,3.0,1.0,-2.07,ExpressPick,296,1.6017217378439417,1.255960406321074
chembridge-fragment-library-part1-exp-2024-06,17702,1,Fc1ccccc1N2C(O)=NC([O-])=C([S+](C)C)C2=O,6TBE_P,281.3,19,1.3,72.8,1.3,2,-8.354,-6.425,-7.329,-0.338,71.9,3.0,1.0,-1.95,ExpressPick,282,1.0207873461228254,1.226166739061943
chembridge-fragment-library-part1-exp-2024-06,6760,1,Brc1cccc([C@@H]2c3c(C[C@H](N2)C(O)=O)c4ccccc4[nH]3)c1,6TBE_P,371.2,23,3.7,65.1,1.9,3,-8.168,-8.39,-9.143,-0.365,65.1,3.0,3.0,-5.01,ExpressPick,371,3.826199074874049,0.558273661505923
chembridge-fragment-library-part1-exp-2024-06,12578,1,O=C1C=CC=C2[C@H]3CN(C[C@H](C3)CN12)Cc4ccc(O)cc4,6TBE_P,296.4,22,1.9,43.8,3.8,3,-8.121,-6.471,-7.099,-0.294,45.5,3.0,1.0,-2.14,ExpressPick,296,1.8818950101814518,-0.1000973765723957
chembridge-fragment-library-part1-exp-2024-06,28944,1,Brc1ccc2ccn(c2c1)CC(=O)Nc3nncs3,6TBE_P,337.2,19,3.0,59.8,2.3,3,-8.118,-7.978,-8.561,-0.42,59.8,3.0,1.0,-3.84,ExpressPick,337,2.338918056520038,-0.14516317703733048
chembridge-fragment-library-part1-exp-2024-06,7432,1,Brc1csc([C@H]2C(=C(Oc3c2c(n[nH]3)C)N)C#N)c1,6TBE_P,337.2,19,2.8,87.7,0.0,1,-8.114,-7.096,-9.652,-0.373,87.7,3.0,2.0,-3.23,ExpressPick,337,2.1661999735631228,1.3005869225050695
chembridge-fragment-library-part1-exp-2024-06,26126,1,O=C(NC1=CN=C2N(C1=O)C=CS2)c3ccccc3C,6TBE_P,285.3,20,1.8,61.8,0.5,2,-8.086,-5.828,-6.958,-0.291,63.5,3.0,1.0,-2.14,ExpressPick,285,1.311691623555016,0.5615547637387246
chembridge-fragment-library-part1-exp-2024-06,14404,1,Brc1ccc2c(c3CCC[C@H](NCCO)c3[nH]2)c1,6TBE_P,309.2,18,3.3,48.0,4.5,4,-8.082,-7.845,-8.119,-0.436,52.6,1.0,3.0,-1.86,ExpressPick,309,1.425739641330489,-0.7319932530537552
chembridge-fragment-library-part2-cl-2024-06,4690,1,Clc1ccc(C(=O)NCc2cccnc2N)cc1O,6TBE_P,277.7,19,2.0,88.2,2.8,4,-8.028,-6.559,-7.226,-0.345,88.2,3.0,3.0,-2.12,1101,CORE,1.7676159188933833,2.5306996533174075
chembridge-fragment-library-part1-exp-2024-06,19966,1,Brc1cc(F)c(NC(=O)CN2C=Nc3ccccc3C2=O)cc1,6TBE_P,376.2,23,3.7,61.8,2.3,3,-8.025,-7.574,-8.592,-0.329,64.0,3.0,1.0,-3.33,ExpressPick,376,3.8861019444399414,-0.5529243931209336
chembridge-fragment-library-part1-exp-2024-06,19976,1,Fc1ccc(N2C(=O)C[C@@H](C2)C(=O)Nc3ccccn3)cc1,6TBE_P,299.3,22,2.5,62.3,1.8,3,-8.014,-7.344,-8.587,-0.334,62.3,3.0,1.0,-2.3,ExpressPick,299,2.3355553881292352,0.23494794039200725
chembridge-fragment-library-part1-exp-2024-06,14426,1,OCCN[C@H]1CCCc2c3cc(ccc3[nH]c21)C,6TBE_P,244.3,18,2.8,48.0,4.5,4,-7.997,-7.525,-7.788,-0.418,52.6,1.0,3.0,-1.32,ExpressPick,244,0.45485431367713786,-0.3571414679880905
chembridge-fragment-library-part1-exp-2024-06,18228,1,Fc1ccc(NC(=O)C2=CC(=O)c3ccccc3O2)cc1,6TBE_P,283.3,21,3.1,55.4,0.5,2,-7.979,-6.114,-7.541,-0.291,59.3,3.0,1.0,-3.38,ExpressPick,283,1.8513349443848588,-0.34477113921722247
chembridge-fragment-library-part1-exp-2024-06,22972,1,O=C1C=C(Nc2nc(nn12)C)CSc3ccc(cc3)C,6TBE_P,286.4,20,2.6,59.8,3.0,3,-7.938,-6.976,-7.527,-0.349,63.1,3.0,1.0,-1.98,ExpressPick,286,1.7775457787852258,0.14122480903400914
chembridge-fragment-library-part1-exp-2024-06,12576,1,O=C1C=CC=C2[C@H]3CN(C[C@H](C3)CN12)Cc4cccc(O)c4,6TBE_P,296.4,22,1.9,43.8,3.8,3,-7.878,-7.059,-7.414,-0.321,45.5,3.0,1.0,-2.14,ExpressPick,296,1.8818950101814518,-0.1000973765723957
